Date,Open,High,Low,Close,Volume,OpenInt
9/20/2005,330.99,334.75,328.2,328.2,15800,0
9/21/2005,327.95,327.95,316.5,318.99,18600,0
9/22/2005,319.9,319.95,315,316.25,30400,0
9/23/2005,316.25,317.35,313.5,314,19300,0
9/26/2005,315.5,317.49,308.7,309.7,27700,0
9/27/2005,309.7,315.3,309.41,314.95,31400,0
9/28/2005,314.95,326.88,314,326.72,46100,0
9/29/2005,326,333,325.76,332.75,56400,0
9/30/2005,331,331,327.01,330.5,14100,0
10/3/2005,330.5,333,329.4,330.05,13300,0
10/4/2005,330,332.49,330,331,12900,0
10/5/2005,330,330,327.5,329.05,22500,0
10/6/2005,328.55,329.05,323.66,325,8100,0
10/7/2005,324.5,327.38,322.91,323.05,11000,0
10/10/2005,322.95,326.2,322.95,325.99,5600,0
10/11/2005,325.5,328.5,321.11,321.11,13300,0
10/12/2005,320.61,320.61,316,316.6,14000,0
10/13/2005,316.1,320,316,317.44,8400,0
10/14/2005,318,318,313.25,315.57,12100,0
10/17/2005,316,317.3,315,317.3,3900,0
10/18/2005,317.3,317.36,311,311.67,17400,0
10/19/2005,312,317,311.5,316.5,12100,0
10/20/2005,316.5,319,316.5,318,12100,0
10/21/2005,316.25,317.82,315,317.82,11100,0
10/24/2005,317.25,320.75,317,319.74,7200,0
10/25/2005,319,319,316.01,317.25,18800,0
10/26/2005,316.65,316.9,314.68,316.19,4800,0
10/27/2005,316.75,317.94,312.65,312.69,11200,0
10/28/2005,313.1,316.34,313.1,316,11300,0
10/31/2005,316.75,318.99,316.5,318,11300,0
11/1/2005,316.5,318.49,315.5,317.36,23500,0
11/2/2005,316.25,325.25,315,325.25,20500,0
11/3/2005,324,328.99,320,323,42200,0
11/4/2005,321.5,321.5,318.01,319.5,28700,0
11/7/2005,319,320.51,318,319.1,7200,0
11/8/2005,317.3,319,317,318.95,9800,0
11/9/2005,318.95,320,317.5,318.81,11200,0
11/10/2005,318,318.9,316,317.94,12200,0
11/11/2005,317.6,319,317.56,318.65,6900,0
11/14/2005,318,319.1,316.5,319,11100,0
11/15/2005,318,319.5,316.11,317.55,10400,0
11/16/2005,316,316.4,313.75,316.1,6700,0
11/17/2005,316.75,317,314.51,316.03,10400,0
